Ship Full Date Description;Ship Date Key;Ship Year;Ship Season;Ship Semester;Ship Month Number Year;Ship Week Number Year;Ship Day Number Month;Ship Day Number Week;Ship Day Name Week;Holiday Key;Holiday Indicator;Weekend Indicator
41022;110;2012;Spring;1;4;17;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41023;111;2012;Spring;1;4;17;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41024;112;2012;Spring;1;4;17;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41025;113;2012;Spring;1;4;17;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41026;114;2012;Spring;1;4;17;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41027;115;2012;Spring;1;4;17;28;6;sábado;No Key;Non-Holiday;Weekend
41028;116;2012;Spring;1;4;18;29;7;domingo;No Key;Non-Holiday;Weekend
41029;117;2012;Spring;1;4;18;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41030;118;2012;Spring;1;5;18;1;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41031;119;2012;Spring;1;5;18;2;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41032;120;2012;Spring;1;5;18;3;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41033;121;2012;Spring;1;5;18;4;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41034;122;2012;Spring;1;5;18;5;6;sábado;No Key;Non-Holiday;Weekend
41035;123;2012;Spring;1;5;19;6;7;domingo;No Key;Non-Holiday;Weekend
41036;124;2012;Spring;1;5;19;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41037;125;2012;Spring;1;5;19;8;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41038;126;2012;Spring;1;5;19;9;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41039;127;2012;Spring;1;5;19;10;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41040;128;2012;Spring;1;5;19;11;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41041;129;2012;Spring;1;5;19;12;6;sábado;No Key;Non-Holiday;Weekend
41042;130;2012;Spring;1;5;20;13;7;domingo;No Key;Non-Holiday;Weekend
41043;131;2012;Spring;1;5;20;14;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41044;132;2012;Spring;1;5;20;15;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41045;133;2012;Spring;1;5;20;16;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41046;134;2012;Spring;1;5;20;17;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41047;135;2012;Spring;1;5;20;18;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41048;136;2012;Spring;1;5;20;19;6;sábado;No Key;Non-Holiday;Weekend
41049;137;2012;Spring;1;5;21;20;7;domingo;No Key;Non-Holiday;Weekend
41050;138;2012;Spring;1;5;21;21;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41051;139;2012;Spring;1;5;21;22;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41052;140;2012;Spring;1;5;21;23;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41053;141;2012;Spring;1;5;21;24;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41054;142;2012;Spring;1;5;21;25;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41055;143;2012;Spring;1;5;21;26;6;sábado;No Key;Non-Holiday;Weekend
41056;144;2012;Spring;1;5;22;27;7;domingo;No Key;Non-Holiday;Weekend
41057;145;2012;Spring;1;5;22;28;1;segunda-feira;11;Holiday;Non-Weekend
41058;146;2012;Spring;1;5;22;29;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41059;147;2012;Spring;1;5;22;30;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41060;148;2012;Spring;1;5;22;31;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41061;149;2012;Spring;1;6;22;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41062;150;2012;Spring;1;6;22;2;6;sábado;No Key;Non-Holiday;Weekend
41063;151;2012;Spring;1;6;23;3;7;domingo;No Key;Non-Holiday;Weekend
41064;152;2012;Spring;1;6;23;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41065;153;2012;Spring;1;6;23;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41066;154;2012;Spring;1;6;23;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41067;155;2012;Spring;1;6;23;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41068;156;2012;Spring;1;6;23;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41069;157;2012;Spring;1;6;23;9;6;sábado;No Key;Non-Holiday;Weekend
41070;158;2012;Spring;1;6;24;10;7;domingo;No Key;Non-Holiday;Weekend
41071;159;2012;Spring;1;6;24;11;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41072;160;2012;Spring;1;6;24;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41073;161;2012;Spring;1;6;24;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41074;162;2012;Spring;1;6;24;14;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41075;163;2012;Spring;1;6;24;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41076;164;2012;Spring;1;6;24;16;6;sábado;No Key;Non-Holiday;Weekend
41077;165;2012;Spring;1;6;25;17;7;domingo;No Key;Non-Holiday;Weekend
41078;166;2012;Spring;1;6;25;18;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41079;167;2012;Spring;1;6;25;19;2;terça-feira;6;Holiday;Non-Weekend
41080;168;2012;Summer;1;6;25;20;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41081;169;2012;Summer;1;6;25;21;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41082;170;2012;Summer;1;6;25;22;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41083;171;2012;Summer;1;6;25;23;6;sábado;No Key;Non-Holiday;Weekend
41084;172;2012;Summer;1;6;26;24;7;domingo;No Key;Non-Holiday;Weekend
41085;173;2012;Summer;1;6;26;25;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41086;174;2012;Summer;1;6;26;26;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41087;175;2012;Summer;1;6;26;27;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41088;176;2012;Summer;1;6;26;28;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41089;177;2012;Summer;1;6;26;29;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41090;178;2012;Summer;1;6;26;30;6;sábado;No Key;Non-Holiday;Weekend
41091;179;2012;Summer;2;7;27;1;7;domingo;No Key;Non-Holiday;Weekend
41092;180;2012;Summer;2;7;27;2;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41093;181;2012;Summer;2;7;27;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41094;182;2012;Summer;2;7;27;4;3;quarta-feira;1;Holiday;Non-Weekend
41095;183;2012;Summer;2;7;27;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41096;184;2012;Summer;2;7;27;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41097;185;2012;Summer;2;7;27;7;6;sábado;No Key;Non-Holiday;Weekend
41098;186;2012;Summer;2;7;28;8;7;domingo;No Key;Non-Holiday;Weekend
41099;187;2012;Summer;2;7;28;9;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41100;188;2012;Summer;2;7;28;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41101;189;2012;Summer;2;7;28;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41102;190;2012;Summer;2;7;28;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41103;191;2012;Summer;2;7;28;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41104;192;2012;Summer;2;7;28;14;6;sábado;No Key;Non-Holiday;Weekend
41105;193;2012;Summer;2;7;29;15;7;domingo;No Key;Non-Holiday;Weekend
41106;194;2012;Summer;2;7;29;16;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41107;195;2012;Summer;2;7;29;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41108;196;2012;Summer;2;7;29;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41109;197;2012;Summer;2;7;29;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41110;198;2012;Summer;2;7;29;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41111;199;2012;Summer;2;7;29;21;6;sábado;No Key;Non-Holiday;Weekend
41112;200;2012;Summer;2;7;30;22;7;domingo;No Key;Non-Holiday;Weekend
41113;201;2012;Summer;2;7;30;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41114;202;2012;Summer;2;7;30;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41115;203;2012;Summer;2;7;30;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41116;204;2012;Summer;2;7;30;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41117;205;2012;Summer;2;7;30;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41118;206;2012;Summer;2;7;30;28;6;sábado;No Key;Non-Holiday;Weekend
41119;207;2012;Summer;2;7;31;29;7;domingo;No Key;Non-Holiday;Weekend
41120;208;2012;Summer;2;7;31;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41121;209;2012;Summer;2;7;31;31;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41122;210;2012;Summer;2;8;31;1;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41123;211;2012;Summer;2;8;31;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41124;212;2012;Summer;2;8;31;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41125;213;2012;Summer;2;8;31;4;6;sábado;No Key;Non-Holiday;Weekend
41126;214;2012;Summer;2;8;32;5;7;domingo;No Key;Non-Holiday;Weekend
41127;215;2012;Summer;2;8;32;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41128;216;2012;Summer;2;8;32;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41129;217;2012;Summer;2;8;32;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41130;218;2012;Summer;2;8;32;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41131;219;2012;Summer;2;8;32;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41132;220;2012;Summer;2;8;32;11;6;sábado;No Key;Non-Holiday;Weekend
41133;221;2012;Summer;2;8;33;12;7;domingo;No Key;Non-Holiday;Weekend
41134;222;2012;Summer;2;8;33;13;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41135;223;2012;Summer;2;8;33;14;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41136;224;2012;Summer;2;8;33;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41137;225;2012;Summer;2;8;33;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41138;226;2012;Summer;2;8;33;17;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41139;227;2012;Summer;2;8;33;18;6;sábado;No Key;Non-Holiday;Weekend
41140;228;2012;Summer;2;8;34;19;7;domingo;No Key;Non-Holiday;Weekend
41141;229;2012;Summer;2;8;34;20;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41142;230;2012;Summer;2;8;34;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41143;231;2012;Summer;2;8;34;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41144;232;2012;Summer;2;8;34;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41145;233;2012;Summer;2;8;34;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
