Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
41017;104;2012;Spring;1;4;16;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41018;105;2012;Spring;1;4;16;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41019;106;2012;Spring;1;4;16;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41020;107;2012;Spring;1;4;16;21;6;sábado;No Key;Non-Holiday;Weekend
41021;108;2012;Spring;1;4;17;22;7;domingo;No Key;Non-Holiday;Weekend
41022;109;2012;Spring;1;4;17;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41023;110;2012;Spring;1;4;17;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41024;111;2012;Spring;1;4;17;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41025;112;2012;Spring;1;4;17;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41026;113;2012;Spring;1;4;17;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41027;114;2012;Spring;1;4;17;28;6;sábado;No Key;Non-Holiday;Weekend
41028;115;2012;Spring;1;4;18;29;7;domingo;No Key;Non-Holiday;Weekend
41030;116;2012;Spring;1;5;18;1;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41031;117;2012;Spring;1;5;18;2;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41032;118;2012;Spring;1;5;18;3;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41033;119;2012;Spring;1;5;18;4;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41034;120;2012;Spring;1;5;18;5;6;sábado;No Key;Non-Holiday;Weekend
41035;121;2012;Spring;1;5;19;6;7;domingo;No Key;Non-Holiday;Weekend
41036;122;2012;Spring;1;5;19;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41037;123;2012;Spring;1;5;19;8;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41038;124;2012;Spring;1;5;19;9;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41039;125;2012;Spring;1;5;19;10;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41040;126;2012;Spring;1;5;19;11;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41041;127;2012;Spring;1;5;19;12;6;sábado;No Key;Non-Holiday;Weekend
41042;128;2012;Spring;1;5;20;13;7;domingo;No Key;Non-Holiday;Weekend
41043;129;2012;Spring;1;5;20;14;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41044;130;2012;Spring;1;5;20;15;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41045;131;2012;Spring;1;5;20;16;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41046;132;2012;Spring;1;5;20;17;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41047;133;2012;Spring;1;5;20;18;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41048;134;2012;Spring;1;5;20;19;6;sábado;No Key;Non-Holiday;Weekend
41049;135;2012;Spring;1;5;21;20;7;domingo;No Key;Non-Holiday;Weekend
41050;136;2012;Spring;1;5;21;21;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41051;137;2012;Spring;1;5;21;22;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41052;138;2012;Spring;1;5;21;23;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41053;139;2012;Spring;1;5;21;24;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41054;140;2012;Spring;1;5;21;25;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41055;141;2012;Spring;1;5;21;26;6;sábado;No Key;Non-Holiday;Weekend
41056;142;2012;Spring;1;5;22;27;7;domingo;No Key;Non-Holiday;Weekend
41058;143;2012;Spring;1;5;22;29;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41059;144;2012;Spring;1;5;22;30;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41060;145;2012;Spring;1;5;22;31;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41061;146;2012;Spring;1;6;22;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41062;147;2012;Spring;1;6;22;2;6;sábado;No Key;Non-Holiday;Weekend
41063;148;2012;Spring;1;6;23;3;7;domingo;No Key;Non-Holiday;Weekend
41064;149;2012;Spring;1;6;23;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41065;150;2012;Spring;1;6;23;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41066;151;2012;Spring;1;6;23;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41067;152;2012;Spring;1;6;23;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41068;153;2012;Spring;1;6;23;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41069;154;2012;Spring;1;6;23;9;6;sábado;No Key;Non-Holiday;Weekend
41070;155;2012;Spring;1;6;24;10;7;domingo;No Key;Non-Holiday;Weekend
41071;156;2012;Spring;1;6;24;11;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41072;157;2012;Spring;1;6;24;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41073;158;2012;Spring;1;6;24;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41074;159;2012;Spring;1;6;24;14;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41075;160;2012;Spring;1;6;24;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41076;161;2012;Spring;1;6;24;16;6;sábado;No Key;Non-Holiday;Weekend
41077;162;2012;Spring;1;6;25;17;7;domingo;No Key;Non-Holiday;Weekend
41078;163;2012;Spring;1;6;25;18;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41079;164;2012;Spring;1;6;25;19;2;terça-feira;6;Holiday;Non-Weekend
41080;165;2012;Summer;1;6;25;20;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41081;166;2012;Summer;1;6;25;21;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41082;167;2012;Summer;1;6;25;22;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41083;168;2012;Summer;1;6;25;23;6;sábado;No Key;Non-Holiday;Weekend
41084;169;2012;Summer;1;6;26;24;7;domingo;No Key;Non-Holiday;Weekend
41085;170;2012;Summer;1;6;26;25;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41086;171;2012;Summer;1;6;26;26;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41087;172;2012;Summer;1;6;26;27;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41088;173;2012;Summer;1;6;26;28;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41089;174;2012;Summer;1;6;26;29;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41090;175;2012;Summer;1;6;26;30;6;sábado;No Key;Non-Holiday;Weekend
41091;176;2012;Summer;2;7;27;1;7;domingo;No Key;Non-Holiday;Weekend
41093;177;2012;Summer;2;7;27;3;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41094;178;2012;Summer;2;7;27;4;3;quarta-feira;1;Holiday;Non-Weekend
41095;179;2012;Summer;2;7;27;5;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41096;180;2012;Summer;2;7;27;6;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41097;181;2012;Summer;2;7;27;7;6;sábado;No Key;Non-Holiday;Weekend
41098;182;2012;Summer;2;7;28;8;7;domingo;No Key;Non-Holiday;Weekend
41100;183;2012;Summer;2;7;28;10;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41101;184;2012;Summer;2;7;28;11;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41102;185;2012;Summer;2;7;28;12;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41103;186;2012;Summer;2;7;28;13;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41104;187;2012;Summer;2;7;28;14;6;sábado;No Key;Non-Holiday;Weekend
41105;188;2012;Summer;2;7;29;15;7;domingo;No Key;Non-Holiday;Weekend
41106;189;2012;Summer;2;7;29;16;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41107;190;2012;Summer;2;7;29;17;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41108;191;2012;Summer;2;7;29;18;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41109;192;2012;Summer;2;7;29;19;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41110;193;2012;Summer;2;7;29;20;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41111;194;2012;Summer;2;7;29;21;6;sábado;No Key;Non-Holiday;Weekend
41112;195;2012;Summer;2;7;30;22;7;domingo;No Key;Non-Holiday;Weekend
41113;196;2012;Summer;2;7;30;23;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41114;197;2012;Summer;2;7;30;24;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41115;198;2012;Summer;2;7;30;25;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41116;199;2012;Summer;2;7;30;26;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41117;200;2012;Summer;2;7;30;27;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41118;201;2012;Summer;2;7;30;28;6;sábado;No Key;Non-Holiday;Weekend
41119;202;2012;Summer;2;7;31;29;7;domingo;No Key;Non-Holiday;Weekend
41120;203;2012;Summer;2;7;31;30;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41121;204;2012;Summer;2;7;31;31;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41122;205;2012;Summer;2;8;31;1;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41123;206;2012;Summer;2;8;31;2;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41124;207;2012;Summer;2;8;31;3;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41125;208;2012;Summer;2;8;31;4;6;sábado;No Key;Non-Holiday;Weekend
41126;209;2012;Summer;2;8;32;5;7;domingo;No Key;Non-Holiday;Weekend
41127;210;2012;Summer;2;8;32;6;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41128;211;2012;Summer;2;8;32;7;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41129;212;2012;Summer;2;8;32;8;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41130;213;2012;Summer;2;8;32;9;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41131;214;2012;Summer;2;8;32;10;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41132;215;2012;Summer;2;8;32;11;6;sábado;No Key;Non-Holiday;Weekend
41133;216;2012;Summer;2;8;33;12;7;domingo;No Key;Non-Holiday;Weekend
41135;217;2012;Summer;2;8;33;14;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41136;218;2012;Summer;2;8;33;15;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41137;219;2012;Summer;2;8;33;16;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41138;220;2012;Summer;2;8;33;17;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41139;221;2012;Summer;2;8;33;18;6;sábado;No Key;Non-Holiday;Weekend
41140;222;2012;Summer;2;8;34;19;7;domingo;No Key;Non-Holiday;Weekend
41141;223;2012;Summer;2;8;34;20;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41142;224;2012;Summer;2;8;34;21;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41143;225;2012;Summer;2;8;34;22;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41144;226;2012;Summer;2;8;34;23;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41145;227;2012;Summer;2;8;34;24;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41146;228;2012;Summer;2;8;34;25;6;sábado;No Key;Non-Holiday;Weekend
41147;229;2012;Summer;2;8;35;26;7;domingo;No Key;Non-Holiday;Weekend
41149;230;2012;Summer;2;8;35;28;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41150;231;2012;Summer;2;8;35;29;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41151;232;2012;Summer;2;8;35;30;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41152;233;2012;Summer;2;8;35;31;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41153;234;2012;Summer;2;9;35;1;6;sábado;8;Holiday;Weekend
41154;235;2012;Summer;2;9;36;2;7;domingo;9;Holiday;Weekend
41156;236;2012;Summer;2;9;36;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41157;237;2012;Summer;2;9;36;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41158;238;2012;Summer;2;9;36;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41159;239;2012;Summer;2;9;36;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41160;240;2012;Summer;2;9;36;8;6;sábado;No Key;Non-Holiday;Weekend
41161;241;2012;Summer;2;9;37;9;7;domingo;No Key;Non-Holiday;Weekend
41162;242;2012;Summer;2;9;37;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41163;243;2012;Summer;2;9;37;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41164;244;2012;Summer;2;9;37;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41165;245;2012;Summer;2;9;37;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41166;246;2012;Summer;2;9;37;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41167;247;2012;Summer;2;9;37;15;6;sábado;No Key;Non-Holiday;Weekend
41168;248;2012;Summer;2;9;38;16;7;domingo;No Key;Non-Holiday;Weekend
41169;249;2012;Summer;2;9;38;17;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41170;250;2012;Summer;2;9;38;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41171;251;2012;Summer;2;9;38;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41172;252;2012;Autumn;2;9;38;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41173;253;2012;Autumn;2;9;38;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41174;254;2012;Autumn;2;9;38;22;6;sábado;No Key;Non-Holiday;Weekend
41175;255;2012;Autumn;2;9;39;23;7;domingo;No Key;Non-Holiday;Weekend
41176;256;2012;Autumn;2;9;39;24;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41177;257;2012;Autumn;2;9;39;25;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41178;258;2012;Autumn;2;9;39;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41179;259;2012;Autumn;2;9;39;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41180;260;2012;Autumn;2;9;39;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41181;261;2012;Autumn;2;9;39;29;6;sábado;No Key;Non-Holiday;Weekend
41182;262;2012;Autumn;2;9;40;30;7;domingo;No Key;Non-Holiday;Weekend
41183;263;2012;Autumn;2;10;40;1;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41184;264;2012;Autumn;2;10;40;2;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41185;265;2012;Autumn;2;10;40;3;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41186;266;2012;Autumn;2;10;40;4;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41187;267;2012;Autumn;2;10;40;5;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41188;268;2012;Autumn;2;10;40;6;6;sábado;No Key;Non-Holiday;Weekend
41189;269;2012;Autumn;2;10;41;7;7;domingo;No Key;Non-Holiday;Weekend
41190;270;2012;Autumn;2;10;41;8;1;segunda-feira;4;Holiday;Non-Weekend
41191;271;2012;Autumn;2;10;41;9;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41192;272;2012;Autumn;2;10;41;10;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41193;273;2012;Autumn;2;10;41;11;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41194;274;2012;Autumn;2;10;41;12;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41195;275;2012;Autumn;2;10;41;13;6;sábado;No Key;Non-Holiday;Weekend
41196;276;2012;Autumn;2;10;42;14;7;domingo;No Key;Non-Holiday;Weekend
41197;277;2012;Autumn;2;10;42;15;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41198;278;2012;Autumn;2;10;42;16;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41199;279;2012;Autumn;2;10;42;17;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41200;280;2012;Autumn;2;10;42;18;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41201;281;2012;Autumn;2;10;42;19;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41202;282;2012;Autumn;2;10;42;20;6;sábado;No Key;Non-Holiday;Weekend
41203;283;2012;Autumn;2;10;43;21;7;domingo;No Key;Non-Holiday;Weekend
41205;284;2012;Autumn;2;10;43;23;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41206;285;2012;Autumn;2;10;43;24;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41207;286;2012;Autumn;2;10;43;25;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41208;287;2012;Autumn;2;10;43;26;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41209;288;2012;Autumn;2;10;43;27;6;sábado;No Key;Non-Holiday;Weekend
41210;289;2012;Autumn;2;10;44;28;7;domingo;No Key;Non-Holiday;Weekend
41211;290;2012;Autumn;2;10;44;29;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41212;291;2012;Autumn;2;10;44;30;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41213;292;2012;Autumn;2;10;44;31;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41214;293;2012;Autumn;2;11;44;1;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41215;294;2012;Autumn;2;11;44;2;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41216;295;2012;Autumn;2;11;44;3;6;sábado;No Key;Non-Holiday;Weekend
41217;296;2012;Autumn;2;11;45;4;7;domingo;No Key;Non-Holiday;Weekend
41218;297;2012;Autumn;2;11;45;5;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41219;298;2012;Autumn;2;11;45;6;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41220;299;2012;Autumn;2;11;45;7;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41221;300;2012;Autumn;2;11;45;8;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41222;301;2012;Autumn;2;11;45;9;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41223;302;2012;Autumn;2;11;45;10;6;sábado;No Key;Non-Holiday;Weekend
41224;303;2012;Autumn;2;11;46;11;7;domingo;17;Holiday;Weekend
41225;304;2012;Autumn;2;11;46;12;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41226;305;2012;Autumn;2;11;46;13;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41227;306;2012;Autumn;2;11;46;14;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41228;307;2012;Autumn;2;11;46;15;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41229;308;2012;Autumn;2;11;46;16;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41230;309;2012;Autumn;2;11;46;17;6;sábado;No Key;Non-Holiday;Weekend
41231;310;2012;Autumn;2;11;47;18;7;domingo;No Key;Non-Holiday;Weekend
41232;311;2012;Autumn;2;11;47;19;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41233;312;2012;Autumn;2;11;47;20;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41234;313;2012;Autumn;2;11;47;21;3;quarta-feira;15;Holiday;Non-Weekend
41235;314;2012;Autumn;2;11;47;22;4;quinta-feira;14;Holiday;Non-Weekend
41236;315;2012;Autumn;2;11;47;23;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41237;316;2012;Autumn;2;11;47;24;6;sábado;No Key;Non-Holiday;Weekend
41238;317;2012;Autumn;2;11;48;25;7;domingo;No Key;Non-Holiday;Weekend
41239;318;2012;Autumn;2;11;48;26;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41240;319;2012;Autumn;2;11;48;27;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41241;320;2012;Autumn;2;11;48;28;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41242;321;2012;Autumn;2;11;48;29;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41243;322;2012;Autumn;2;11;48;30;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41244;323;2012;Autumn;2;12;48;1;6;sábado;No Key;Non-Holiday;Weekend
41245;324;2012;Autumn;2;12;49;2;7;domingo;No Key;Non-Holiday;Weekend
41246;325;2012;Autumn;2;12;49;3;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41247;326;2012;Autumn;2;12;49;4;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41248;327;2012;Autumn;2;12;49;5;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41249;328;2012;Autumn;2;12;49;6;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41250;329;2012;Autumn;2;12;49;7;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41251;330;2012;Autumn;2;12;49;8;6;sábado;No Key;Non-Holiday;Weekend
41252;331;2012;Autumn;2;12;50;9;7;domingo;No Key;Non-Holiday;Weekend
41253;332;2012;Autumn;2;12;50;10;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41254;333;2012;Autumn;2;12;50;11;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41255;334;2012;Autumn;2;12;50;12;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41256;335;2012;Autumn;2;12;50;13;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41257;336;2012;Autumn;2;12;50;14;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41258;337;2012;Autumn;2;12;50;15;6;sábado;No Key;Non-Holiday;Weekend
41259;338;2012;Autumn;2;12;51;16;7;domingo;No Key;Non-Holiday;Weekend
41261;339;2012;Autumn;2;12;51;18;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41262;340;2012;Autumn;2;12;51;19;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41263;341;2012;Winter;2;12;51;20;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41264;342;2012;Winter;2;12;51;21;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41265;343;2012;Winter;2;12;51;22;6;sábado;No Key;Non-Holiday;Weekend
41266;344;2012;Winter;2;12;52;23;7;domingo;No Key;Non-Holiday;Weekend
41267;345;2012;Winter;2;12;52;24;1;segunda-feira;3;Holiday;Non-Weekend
41268;346;2012;Winter;2;12;52;25;2;terça-feira;2;Holiday;Non-Weekend
41269;347;2012;Winter;2;12;52;26;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41270;348;2012;Winter;2;12;52;27;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41271;349;2012;Winter;2;12;52;28;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41272;350;2012;Winter;2;12;52;29;6;sábado;No Key;Non-Holiday;Weekend
41273;351;2012;#N/A;2;12;53;30;7;domingo;No Key;Non-Holiday;Weekend
41275;352;2013;Winter;1;1;1;1;2;terça-feira;31;Holiday;Non-Weekend
41276;353;2013;Winter;1;1;1;2;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41277;354;2013;Winter;1;1;1;3;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41278;355;2013;Winter;1;1;1;4;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41279;356;2013;Winter;1;1;1;5;6;sábado;No Key;Non-Holiday;Weekend
41280;357;2013;Winter;1;1;2;6;7;domingo;No Key;Non-Holiday;Weekend
41281;358;2013;Winter;1;1;2;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41282;359;2013;Winter;1;1;2;8;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41283;360;2013;Winter;1;1;2;9;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41284;361;2013;Winter;1;1;2;10;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41285;362;2013;Winter;1;1;2;11;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41286;363;2013;Winter;1;1;2;12;6;sábado;No Key;Non-Holiday;Weekend
41287;364;2013;Winter;1;1;3;13;7;domingo;No Key;Non-Holiday;Weekend
41289;365;2013;Winter;1;1;3;15;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41290;366;2013;Winter;1;1;3;16;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41291;367;2013;Winter;1;1;3;17;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41292;368;2013;Winter;1;1;3;18;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41293;369;2013;Winter;1;1;3;19;6;sábado;No Key;Non-Holiday;Weekend
41294;370;2013;Winter;1;1;4;20;7;domingo;No Key;Non-Holiday;Weekend
41295;371;2013;Winter;1;1;4;21;1;segunda-feira;29;Holiday;Non-Weekend
41296;372;2013;Winter;1;1;4;22;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41297;373;2013;Winter;1;1;4;23;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41298;374;2013;Winter;1;1;4;24;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41299;375;2013;Winter;1;1;4;25;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41300;376;2013;Winter;1;1;4;26;6;sábado;No Key;Non-Holiday;Weekend
41301;377;2013;Winter;1;1;5;27;7;domingo;No Key;Non-Holiday;Weekend
41302;378;2013;Winter;1;1;5;28;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41303;379;2013;Winter;1;1;5;29;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41304;380;2013;Winter;1;1;5;30;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41305;381;2013;Winter;1;1;5;31;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41306;382;2013;Winter;1;2;5;1;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41307;383;2013;Winter;1;2;5;2;6;sábado;No Key;Non-Holiday;Weekend
41308;384;2013;Winter;1;2;6;3;7;domingo;No Key;Non-Holiday;Weekend
41309;385;2013;Winter;1;2;6;4;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41310;386;2013;Winter;1;2;6;5;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41311;387;2013;Winter;1;2;6;6;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41312;388;2013;Winter;1;2;6;7;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41313;389;2013;Winter;1;2;6;8;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41314;390;2013;Winter;1;2;6;9;6;sábado;No Key;Non-Holiday;Weekend
41315;391;2013;Winter;1;2;7;10;7;domingo;No Key;Non-Holiday;Weekend
41316;392;2013;Winter;1;2;7;11;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41317;393;2013;Winter;1;2;7;12;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41318;394;2013;Winter;1;2;7;13;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41319;395;2013;Winter;1;2;7;14;4;quinta-feira;35;Holiday;Non-Weekend
41320;396;2013;Winter;1;2;7;15;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41321;397;2013;Winter;1;2;7;16;6;sábado;No Key;Non-Holiday;Weekend
