Order Full Date Description;Order Date Key;Order Year;Order Season;Order Semester;Order Month Number Year;Order Week Number Year;Order Day Number Month;Order Day Number Week;Order Day Name Week;HolidayKey;HolidayIndicator;WeekendIndicator
41554;624;2013;Autumn;2;10;41;7;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41555;625;2013;Autumn;2;10;41;8;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41556;626;2013;Autumn;2;10;41;9;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41557;627;2013;Autumn;2;10;41;10;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41558;628;2013;Autumn;2;10;41;11;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41559;629;2013;Autumn;2;10;41;12;6;sábado;No Key;Non-Holiday;Weekend
41560;630;2013;Autumn;2;10;42;13;7;domingo;No Key;Non-Holiday;Weekend
41561;631;2013;Autumn;2;10;42;14;1;segunda-feira;23;Holiday;Non-Weekend
41562;632;2013;Autumn;2;10;42;15;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41563;633;2013;Autumn;2;10;42;16;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41564;634;2013;Autumn;2;10;42;17;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41565;635;2013;Autumn;2;10;42;18;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41566;636;2013;Autumn;2;10;42;19;6;sábado;No Key;Non-Holiday;Weekend
41567;637;2013;Autumn;2;10;43;20;7;domingo;No Key;Non-Holiday;Weekend
41568;638;2013;Autumn;2;10;43;21;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41569;639;2013;Autumn;2;10;43;22;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41570;640;2013;Autumn;2;10;43;23;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
41571;641;2013;Autumn;2;10;43;24;4;quinta-feira;No Key;Non-Holiday;Non-Weekend
41572;642;2013;Autumn;2;10;43;25;5;sexta-feira;No Key;Non-Holiday;Non-Weekend
41573;643;2013;Autumn;2;10;43;26;6;sábado;No Key;Non-Holiday;Weekend
41574;644;2013;Autumn;2;10;44;27;7;domingo;No Key;Non-Holiday;Weekend
41575;645;2013;Autumn;2;10;44;28;1;segunda-feira;No Key;Non-Holiday;Non-Weekend
41576;646;2013;Autumn;2;10;44;29;2;terça-feira;No Key;Non-Holiday;Non-Weekend
41577;647;2013;Autumn;2;10;44;30;3;quarta-feira;No Key;Non-Holiday;Non-Weekend
